t,robot,x,y
128.0,leo1,0.990,0.026
130.0,leo1,0.990,0.026
132.0,leo1,0.990,0.026
134.0,leo1,0.990,0.026
136.0,leo1,0.990,0.026
138.0,leo1,1.018,0.016
140.0,leo1,1.007,0.040
142.0,leo1,0.944,-0.096
144.0,leo1,0.593,-0.403
146.0,leo1,0.123,-0.702
148.0,leo1,0.055,-0.765
150.0,leo1,0.061,-0.756
152.0,leo1,0.103,-0.833
154.0,leo1,0.374,-1.112
156.0,leo1,0.891,-1.464
158.0,leo1,1.236,-1.759
160.0,leo1,1.361,-1.876
162.0,leo1,1.351,-1.857
164.0,leo1,1.334,-1.873
166.0,leo1,1.365,-1.859
168.0,leo1,1.090,-1.723
170.0,leo1,0.700,-1.369
172.0,leo1,0.264,-0.912
174.0,leo1,-0.105,-0.560
176.0,leo1,-0.492,-0.200
178.0,leo1,-0.600,-0.090
180.0,leo1,-0.598,-0.110
182.0,leo1,-0.608,-0.173
184.0,leo1,-0.483,-0.576
186.0,leo1,-0.227,-1.162
188.0,leo1,0.054,-1.622
190.0,leo1,0.355,-1.999
192.0,leo1,0.639,-2.429
194.0,leo1,0.735,-2.954
196.0,leo1,0.732,-3.478
198.0,leo1,0.745,-4.002
200.0,leo1,0.735,-4.504
202.0,leo1,0.698,-5.032
204.0,leo1,0.684,-5.542
206.0,leo1,0.638,-6.081
208.0,leo1,0.577,-6.575
210.0,leo1,0.539,-7.088
212.0,leo1,0.489,-7.615
214.0,leo1,0.395,-8.125
216.0,leo1,0.279,-8.571
218.0,leo1,0.251,-8.637
220.0,leo1,-0.018,-8.659
222.0,leo1,-0.541,-8.583
224.0,leo1,-1.021,-8.481
226.0,leo1,-1.542,-8.386
228.0,leo1,-2.046,-8.277
230.0,leo1,-2.573,-8.175
232.0,leo1,-3.105,-8.038
234.0,leo1,-3.454,-7.980
236.0,leo1,-3.970,-8.126
238.0,leo1,-4.453,-8.326
240.0,leo1,-4.906,-8.564
242.0,leo1,-5.372,-8.847
244.0,leo1,-5.626,-9.024
246.0,leo1,-5.623,-9.018
248.0,leo1,-5.598,-9.124
250.0,leo1,-5.259,-9.513
252.0,leo1,-4.994,-9.991
254.0,leo1,-4.745,-10.426
256.0,leo1,-4.573,-10.771
258.0,leo1,-4.415,-10.901
260.0,leo1,-4.410,-10.876
262.0,leo1,-4.410,-10.867
264.0,leo1,-4.496,-10.581
266.0,leo1,-4.728,-10.039
268.0,leo1,-4.725,-9.520
270.0,leo1,-4.572,-9.166
272.0,leo1,-4.186,-8.946
274.0,leo1,-3.689,-8.757
276.0,leo1,-3.203,-8.597
278.0,leo1,-2.690,-8.480
280.0,leo1,-2.178,-8.471
282.0,leo1,-1.665,-8.438
284.0,leo1,-1.126,-8.453
286.0,leo1,-0.620,-8.456
288.0,leo1,-0.086,-8.456
290.0,leo1,0.416,-8.456
292.0,leo1,0.943,-8.456
294.0,leo1,1.471,-8.456
296.0,leo1,1.986,-8.456
298.0,leo1,2.515,-8.440
300.0,leo1,3.025,-8.397
302.0,leo1,3.546,-8.322
304.0,leo1,4.050,-8.174
306.0,leo1,4.394,-8.072
308.0,leo1,4.409,-7.979
310.0,leo1,4.427,-7.627
312.0,leo1,4.400,-7.103
314.0,leo1,4.410,-6.653
316.0,leo1,4.409,-6.559
318.0,leo1,4.428,-6.128
320.0,leo1,4.562,-5.673
322.0,leo1,4.601,-5.549
324.0,leo1,4.601,-5.549
326.0,leo1,4.601,-5.549
328.0,leo1,4.601,-5.549
330.0,leo1,4.601,-5.549
332.0,leo1,4.601,-5.549
334.0,leo1,4.795,-5.213
336.0,leo1,5.104,-4.802
338.0,leo1,5.420,-4.383
340.0,leo1,5.722,-3.967
342.0,leo1,5.936,-3.668
344.0,leo1,5.936,-3.668
346.0,leo1,5.927,-3.700
348.0,leo1,5.843,-3.611
350.0,leo1,5.496,-3.527
352.0,leo1,4.905,-3.422
354.0,leo1,4.411,-3.264
356.0,leo1,3.991,-3.074
358.0,leo1,3.927,-3.027
360.0,leo1,3.927,-3.027
362.0,leo1,3.962,-3.035
364.0,leo1,3.934,-3.042
366.0,leo1,3.941,-3.021
368.0,leo1,3.941,-3.021
370.0,leo1,3.941,-3.021
372.0,leo1,3.941,-3.020
374.0,leo1,3.941,-3.020
376.0,leo1,3.941,-3.020
378.0,leo1,3.941,-3.020
380.0,leo1,3.941,-3.020
382.0,leo1,3.941,-3.020
384.0,leo1,3.941,-3.020
386.0,leo1,3.983,-3.092
388.0,leo1,4.156,-3.196
390.0,leo1,4.653,-3.192
392.0,leo1,5.160,-3.049
394.0,leo1,5.424,-2.709
396.0,leo1,5.541,-2.220
398.0,leo1,5.373,-1.735
400.0,leo1,5.167,-1.278
402.0,leo1,4.822,-0.863
404.0,leo1,4.535,-0.434
406.0,leo1,4.489,0.093
408.0,leo1,4.539,0.579
410.0,leo1,4.688,1.074
412.0,leo1,4.853,1.521
414.0,leo1,4.871,1.561
416.0,leo1,4.796,1.628
418.0,leo1,4.403,1.666
420.0,leo1,3.861,1.671
422.0,leo1,3.350,1.782
424.0,leo1,2.983,1.847
426.0,leo1,2.942,1.838
428.0,leo1,2.952,1.866
430.0,leo1,3.001,1.821
432.0,leo1,3.319,1.744
434.0,leo1,3.762,1.545
436.0,leo1,3.885,1.314
438.0,leo1,3.909,0.807
440.0,leo1,3.947,0.271
442.0,leo1,4.030,-0.233
444.0,leo1,4.136,-0.738
446.0,leo1,4.324,-1.128
448.0,leo1,4.643,-1.403
450.0,leo1,5.099,-1.707
452.0,leo1,5.386,-2.085
454.0,leo1,5.472,-2.584
456.0,leo1,5.373,-2.900
458.0,leo1,5.096,-3.104
460.0,leo1,4.566,-3.140
462.0,leo1,4.044,-3.133
464.0,leo1,3.727,-3.069
466.0,leo1,3.817,-3.106
468.0,leo1,3.917,-3.147
470.0,leo1,4.013,-3.186
472.0,leo1,3.557,-2.985
474.0,leo1,3.186,-2.862
476.0,leo1,2.963,-2.850
478.0,leo1,2.950,-2.854
480.0,leo1,2.957,-2.836
482.0,leo1,2.957,-2.836
484.0,leo1,2.957,-2.836
486.0,leo1,2.967,-2.853
488.0,leo1,3.012,-2.887
490.0,leo1,3.010,-2.887
492.0,leo1,3.010,-2.887
494.0,leo1,3.010,-2.887
496.0,leo1,3.010,-2.887
498.0,leo1,3.010,-2.887
500.0,leo1,3.011,-2.887
502.0,leo1,3.011,-2.887
504.0,leo1,3.011,-2.887
506.0,leo1,3.011,-2.887
508.0,leo1,3.012,-2.888
510.0,leo1,3.012,-2.888
512.0,leo1,3.012,-2.888
514.0,leo1,3.012,-2.888
516.0,leo1,3.013,-2.888
518.0,leo1,3.013,-2.888
520.0,leo1,3.013,-2.888
522.0,leo1,3.013,-2.888
524.0,leo1,3.014,-2.889
526.0,leo1,3.014,-2.889
528.0,leo1,3.014,-2.889
530.0,leo1,3.015,-2.889
532.0,leo1,3.016,-2.890
534.0,leo1,3.016,-2.890
536.0,leo1,3.016,-2.890
538.0,leo1,3.017,-2.890
540.0,leo1,3.017,-2.890
542.0,leo1,3.018,-2.891
544.0,leo1,3.018,-2.891
546.0,leo1,3.018,-2.891
548.0,leo1,3.025,-2.876
550.0,leo1,3.038,-2.863
552.0,leo1,3.206,-2.797
554.0,leo1,3.743,-2.884
556.0,leo1,4.059,-3.161
558.0,leo1,4.087,-3.199
560.0,leo1,4.087,-3.199
562.0,leo1,4.148,-3.244
564.0,leo1,4.507,-3.269
566.0,leo1,4.639,-3.186
568.0,leo1,4.639,-3.186
570.0,leo1,4.633,-3.187
572.0,leo1,4.533,-3.210
574.0,leo1,4.418,-3.235
576.0,leo1,4.344,-3.252
578.0,leo1,4.343,-3.250
580.0,leo1,4.343,-3.250
582.0,leo1,4.343,-3.250
584.0,leo1,4.368,-3.289
586.0,leo1,4.420,-3.369
588.0,leo1,4.478,-3.457
590.0,leo1,4.513,-3.515
592.0,leo1,4.530,-3.397
594.0,leo1,4.507,-3.413
596.0,leo1,4.540,-3.425
598.0,leo1,4.624,-3.593
600.0,leo1,4.568,-4.164
602.0,leo1,4.608,-4.717
604.0,leo1,4.666,-5.217
606.0,leo1,4.722,-5.731
608.0,leo1,4.791,-6.244
610.0,leo1,4.889,-6.738
612.0,leo1,5.008,-7.266
614.0,leo1,5.175,-7.759
616.0,leo1,5.395,-8.240
618.0,leo1,5.630,-8.710
620.0,leo1,5.663,-9.206
622.0,leo1,5.510,-9.704
624.0,leo1,5.303,-10.178
626.0,leo1,5.063,-10.590
628.0,leo1,5.002,-10.713
630.0,leo1,4.974,-10.722
632.0,leo1,5.010,-10.704
634.0,leo1,4.750,-10.565
636.0,leo1,4.342,-10.171
638.0,leo1,3.942,-9.831
640.0,leo1,3.555,-9.477
642.0,leo1,3.174,-9.111
644.0,leo1,2.788,-8.755
646.0,leo1,2.334,-8.517
648.0,leo1,1.821,-8.411
650.0,leo1,1.330,-8.201
652.0,leo1,0.837,-7.978
654.0,leo1,0.408,-7.748
656.0,leo1,-0.072,-7.511
658.0,leo1,-0.546,-7.253
660.0,leo1,-0.977,-7.005
662.0,leo1,-1.422,-6.742
664.0,leo1,-1.877,-6.462
666.0,leo1,-2.328,-6.165
668.0,leo1,-2.729,-5.877
670.0,leo1,-3.158,-5.571
672.0,leo1,-3.589,-5.263
674.0,leo1,-3.946,-5.003
676.0,leo1,-4.264,-4.814
678.0,leo1,-4.427,-4.806
680.0,leo1,-4.454,-4.806
682.0,leo1,-4.480,-4.775
684.0,leo1,-4.495,-4.740
686.0,leo1,-4.502,-4.743
688.0,leo1,-4.502,-4.743
690.0,leo1,-4.485,-4.734
692.0,leo1,-4.397,-4.689
694.0,leo1,-4.305,-4.642
696.0,leo1,-4.229,-4.603
698.0,leo1,-4.248,-4.582
700.0,leo1,-4.337,-4.291
702.0,leo1,-4.494,-3.780
704.0,leo1,-4.657,-3.280
706.0,leo1,-4.782,-2.875
708.0,leo1,-4.780,-2.377
710.0,leo1,-4.787,-1.847
712.0,leo1,-4.782,-1.344
714.0,leo1,-4.788,-0.944
716.0,leo1,-4.790,-0.914
718.0,leo1,-4.907,-0.657
720.0,leo1,-5.199,-0.216
722.0,leo1,-5.497,0.207
724.0,leo1,-5.844,0.606
726.0,leo1,-6.180,0.949
728.0,leo1,-6.314,1.042
730.0,leo1,-6.332,1.051
732.0,leo1,-6.310,1.042
734.0,leo1,-6.141,1.173
736.0,leo1,-5.566,1.314
738.0,leo1,-5.073,1.491
740.0,leo1,-4.551,1.558
742.0,leo1,-4.014,1.581
744.0,leo1,-3.510,1.589
746.0,leo1,-3.011,1.613
748.0,leo1,-2.838,1.699
750.0,leo1,-2.779,1.753
752.0,leo1,-2.787,1.748
754.0,leo1,-2.787,1.748
756.0,leo1,-2.787,1.748
758.0,leo1,-2.787,1.748
760.0,leo1,-2.787,1.748
762.0,leo1,-2.787,1.748
764.0,leo1,-2.787,1.748
766.0,leo1,-2.787,1.748
768.0,leo1,-2.787,1.748
770.0,leo1,-2.787,1.748
772.0,leo1,-2.787,1.748
774.0,leo1,-2.787,1.748
776.0,leo1,-2.787,1.748
778.0,leo1,-2.787,1.748
780.0,leo1,-2.787,1.748
782.0,leo1,-2.787,1.748
784.0,leo1,-2.787,1.748
786.0,leo1,-2.787,1.748
788.0,leo1,-2.787,1.748
790.0,leo1,-2.787,1.748
792.0,leo1,-2.787,1.748
794.0,leo1,-2.787,1.748
796.0,leo1,-2.787,1.748
798.0,leo1,-2.787,1.748
800.0,leo1,-2.787,1.748
802.0,leo1,-2.787,1.748
804.0,leo1,-2.787,1.748
806.0,leo1,-2.787,1.748
808.0,leo1,-2.787,1.748
810.0,leo1,-2.787,1.748
812.0,leo1,-2.787,1.748
